,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango,Alvaro Obregon,Apaxco,Atizapan de Zaragoza,Azcapotzalco,Benito Juarez,Chalco,Chicoloapan,Chimalhuacan,Coacalco de Berriozabal,Coyoacan,Cuajimalpa de Morelos,Cuauhtemoc,Cuautitlan,Cuautitlan Izcalli,Ecatepec de Morelos,Gustavo A. Madero,Huehuetoca,Huixquilucan,Ixtapaluca,Iztacalco,Iztapalapa,Jaltenco,La Magdalena Contreras,La Paz,Miguel Hidalgo,Milpa Alta,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tizayuca,Tlahuac,Tlalnepantla de Baz,Tlalpan,Tultepec,Tultitlan,Valle de Chalco Solidaridad,Venustiano Carranza,Xochimilco,Zumpango
Alvaro Obregon,523069,0,1358,6625,64575,927,773,2387,470,54069,38788,50849,665,1737,5121,7960,431,1035,1287,4747,15475,410,30834,1000,62953,74,10610,5416,274,90,1258,390,92,0,0,106,471,281,1631,2540,16307,80,572,1235,6602,2834,76,299733,0,1605,2885,37025,937,249,1232,967,25196,29593,33925,157,361,3071,4807,0,1204,818,2992,12499,369,18323,771,34403,203,6001,2407,442,0,644,142,0,0,0,210,256,281,1290,2350,9894,184,456,950,7835,2313,290,186699,0,999,1797,23062,583,155,767,602,15694,18433,21131,97,224,1912,2994,0,749,509,1863,7785,229,11413,480,21429,126,3737,1499,275,0,401,88,0,0,0,130,159,175,803,1463,6162,114,284,591,4880,1440,180
Apaxco,0,138793,105,248,0,0,0,189,0,213,114,349,130,318,216,488,510,236,0,0,136,0,0,0,41,0,106,0,0,0,1067,0,41,0,0,0,0,3414,0,189,0,64,102,0,62,0,5428,0,88163,0,0,177,0,0,0,0,94,171,400,0,80,97,205,228,0,0,0,0,0,0,0,79,0,92,0,0,0,761,0,0,0,0,0,0,3958,0,0,0,0,217,0,0,0,4834,0,54915,0,0,110,0,0,0,0,58,106,249,0,49,60,127,142,0,0,0,0,0,0,0,49,0,57,0,0,0,474,0,0,0,0,0,0,2465,0,0,0,0,135,0,0,0,3011
Atizapan de Zaragoza,1480,105,444612,13011,3195,0,170,172,1223,2446,1065,12237,4306,19400,1156,5624,508,594,181,213,923,347,0,91,16197,130,41556,1208,39283,0,171,160,0,154,1010,33,92,220,0,60239,559,1030,4404,0,1212,629,0,1850,0,240013,9334,2562,0,216,252,2099,1655,364,11875,1772,10686,1834,3581,1069,566,457,67,518,356,399,0,6847,0,30243,893,26638,0,168,0,44,914,461,766,0,0,0,39044,274,1201,2889,0,1045,241,0,1152,0,149500,5814,1595,0,134,156,1307,1030,226,7396,1103,6656,1142,2230,665,352,284,41,322,221,248,0,4264,0,18837,556,16592,0,104,0,27,569,287,477,0,0,0,24319,170,748,1799,0,650,150,0
Azcapotzalco,6859,203,12864,256156,9056,861,1077,908,2720,9641,1475,35900,2440,5189,17475,48174,1212,559,1808,2656,10111,366,1250,1921,71103,0,24291,6026,5397,64,2858,74,655,1139,673,717,260,826,760,34492,3065,2735,9656,1341,8846,655,342,3135,45,8620,186950,4428,295,1004,1538,1926,5137,1061,27596,1265,3736,9455,27970,763,570,1131,1970,4813,511,1393,1743,43832,126,15029,4667,2486,0,1745,74,313,581,392,330,255,878,863,20018,1986,1884,3086,755,5049,702,196,1952,28,5369,116448,2758,183,625,957,1199,3199,660,17189,787,2327,5889,17422,475,355,704,1227,2997,318,867,1085,27302,78,9361,2907,1548,0,1086,46,194,361,244,205,158,546,537,12468,1237,1173,1922,470,3144,437,122
Benito Juarez,66536,0,3243,9501,330166,2017,3891,6402,2406,82379,7977,102549,2201,1890,17834,27643,71,758,7318,30045,92358,746,24632,3703,43632,2155,9787,17094,460,166,3466,920,0,346,139,454,200,277,8979,7446,35679,1244,3098,4638,23954,12942,105,36788,222,2360,4748,194488,941,2989,4334,1189,50658,3915,61700,1054,1344,12045,15873,0,404,4408,21309,57005,496,13117,3558,18530,899,6765,11674,626,315,1531,296,0,522,116,335,0,531,6300,3450,21552,1003,642,2468,13184,7150,105,22914,138,1470,2957,121143,586,1861,2699,740,31554,2438,38432,656,837,7502,9887,0,251,2745,13273,35507,308,8170,2216,11542,559,4213,7271,389,196,953,184,0,325,72,208,0,330,3924,2148,13424,624,399,1537,8212,4453,65
Chalco,1432,0,0,1021,2040,348496,583,487,136,3619,286,8998,0,125,559,1216,113,0,24622,3180,10537,0,335,1683,3781,469,1394,4064,0,5242,116,24266,0,0,0,248,0,0,3535,528,1113,0,88,13948,4013,1400,0,761,0,96,562,1075,194320,197,801,166,1755,92,6011,0,71,964,1731,0,0,18013,1950,7523,0,303,1753,2390,481,831,3827,0,2902,0,11708,0,0,0,547,0,296,3953,343,929,0,236,9143,2606,1692,0,474,0,59,350,669,121039,122,498,103,1093,57,3744,0,44,600,1078,0,0,11220,1214,4685,0,188,1091,1488,299,517,2383,0,1807,0,7292,0,0,0,340,0,184,2462,213,578,0,147,5695,1623,1053,0
Chicoloapan,780,0,170,1145,4821,671,196234,45538,0,2970,292,8949,0,138,1190,1248,0,0,2209,3830,8020,140,79,10350,3046,72,436,6882,0,0,210,90,0,0,72,14599,441,0,1068,255,1094,0,0,0,4371,300,0,391,0,216,1004,3387,197,97948,31037,0,1206,292,8026,0,324,696,1293,0,0,2499,2510,7462,0,237,7531,1664,0,321,5418,0,0,0,0,0,210,72,14870,424,0,569,329,426,0,0,258,3688,345,0,243,0,134,625,2109,122,61010,19332,0,751,181,4999,0,201,433,805,0,0,1556,1563,4647,0,147,4690,1036,0,199,3374,0,0,0,0,0,130,44,9262,264,0,354,204,265,0,0,160,2297,214,0
Chimalhuacan,2308,189,266,1037,6689,434,45428,523618,0,7687,680,32504,281,318,3268,5091,0,105,1982,6940,17523,0,121,14042,9206,0,1982,48561,0,0,105,377,0,45,135,5274,506,111,262,900,3059,226,257,1708,16551,1290,0,1377,0,252,1420,3946,583,30876,266106,387,4731,444,26389,518,0,3165,2960,0,105,2543,6507,11464,0,571,10782,5655,0,1330,44891,0,0,372,438,0,45,145,4273,285,321,401,472,1290,0,178,1603,13823,1141,127,857,0,156,884,2457,363,19232,165753,241,2946,276,16437,322,0,1971,1843,0,65,1584,4053,7140,0,355,6715,3522,0,828,27961,0,0,231,272,0,28,90,2661,177,199,249,294,803,0,110,998,8610,710,79
Coacalco de Berriozabal,705,0,1142,2836,2975,136,0,0,245924,1823,584,7032,4729,3668,28444,5414,93,215,95,254,831,17561,216,0,4957,0,6603,505,82,37,2382,0,92,57,129,796,829,452,44,8169,630,19647,21143,85,1867,0,495,651,0,1764,1755,723,166,0,387,102728,1236,93,5419,1901,3315,15094,2702,0,155,86,269,1092,10751,0,0,2694,0,5842,629,0,0,1843,93,0,0,309,406,144,186,0,4595,352,12891,15837,0,1108,0,465,405,0,1098,1093,450,103,0,241,63987,769,57,3375,1184,2064,9401,1683,0,96,53,167,680,6696,0,0,1678,0,3638,391,0,0,1147,57,0,0,192,252,89,115,0,2862,219,8029,9864,0,690,0,289
Coyoacan,54709,213,2045,8933,80772,3308,2799,7442,1517,548274,7375,67730,717,1578,20094,22401,431,415,3753,15553,144530,1394,70868,3259,29336,5700,10153,18286,944,162,2554,609,68,374,97,948,343,0,19709,6693,131780,773,1699,2356,18565,41861,856,24412,94,1655,4398,51363,1968,1355,4355,1223,331930,3515,43245,344,1622,8450,10424,126,0,2560,10196,74813,620,44633,1529,12645,4600,4740,9808,335,326,1172,250,0,666,403,234,225,246,10401,3208,88244,676,332,2017,8536,27142,205,15205,58,1030,2739,31993,1225,844,2712,761,206754,2189,26936,214,1010,5263,6492,78,0,1594,6350,46600,386,27801,952,7876,2865,2952,6109,208,203,730,155,0,414,251,145,140,153,6478,1998,54965,421,206,1256,5316,16906,127
