,Azcapotzalco,Coyoacan,Cuajimalpa de Morelos,Gustavo A. Madero,Iztacalco,Iztapalapa,La Magdalena Contreras,Milpa Alta,Alvaro Obregon,Tlahuac,Tlalpan,Xochimilco,Benito Juarez,Cuauhtemoc,Miguel Hidalgo,Venustiano Carranza,Tizayuca,Apaxco,Atizapan de Zaragoza,Coacalco de Berriozabal,Cuautitlan,Chalco,Chicoloapan,Chimalhuacan,Ecatepec de Morelos,Huehuetoca,Huixquilucan,Ixtapaluca,Jaltenco,Naucalpan de Juarez,Nezahualcoyotl,Nicolas Romero,Ozumba,La Paz,Tecamac,Temamatla,Teoloyucan,Teotihuacan,Tepotzotlan,Texcoco,Tezoyuca,Tlalnepantla de Baz,Tultepec,Tultitlan,Zumpango,Cuautitlan Izcalli,Valle de Chalco Solidaridad
Azcapotzalco,443106,14778,2536,76144,4626,14924,2643,126,9994,1623,5051,1357,13484,63496,114935,13895,1704,248,21484,4646,3705,1156,2081,2446,26930,1975,1129,2939,877,39320,10693,7883,64,3664,4603,148,968,1720,1065,1047,515,54510,4619,12742,538,8925,2096
Coyoacan,13331,880204,10890,32825,25749,219343,115501,10300,79121,30110,220024,69003,132135,110975,41981,27101,246,307,3700,2740,1061,5276,4154,11797,28544,557,415,6313,2014,14893,28094,1279,488,4788,3726,859,68,1040,500,1182,568,9901,1449,2031,1061,3200,4373
Cuajimalpa de Morelos,2162,10196,237735,4261,2339,6765,7836,403,65943,470,6692,1771,13167,18560,38593,3597,0,285,1672,677,640,276,860,890,4329,0,1331,1362,1064,44685,3219,640,0,814,348,72,74,0,0,0,280,2775,1086,258,0,1047,1226
Gustavo A. Madero,74571,32766,4574,1767913,13798,35832,3147,919,12006,4916,15065,6075,44257,218046,71217,97059,4008,735,8553,8038,3938,3072,2849,7426,153148,1087,892,7665,6449,20972,74050,4975,204,3116,15244,76,359,6303,1490,3456,1013,101787,4439,8472,1324,12804,3773
Iztacalco,4334,27467,2232,13233,449818,204924,3256,860,8342,6712,14374,9325,51677,75760,16118,40105,395,0,280,565,526,3776,6289,13388,11704,206,650,10762,360,2253,38979,167,129,8031,2580,1017,0,806,0,1380,0,2273,227,1517,178,1264,5178
Iztapalapa,14442,217510,6712,38055,206683,2818960,15810,8721,27428,110594,91018,39160,156217,241449,60392,72208,1480,191,1615,2046,727,16623,14752,27438,16802,0,661,30711,848,10672,109167,272,1093,42113,4993,2511,0,1412,75,5810,338,4137,536,2754,172,3077,23285
La Magdalena Contreras,2475,117359,7348,3640,3149,15823,436667,1732,53519,1970,91468,9171,37232,35849,18658,4186,97,0,476,704,514,510,316,380,3178,0,213,1931,0,4675,2363,144,105,682,331,249,96,0,0,881,0,1643,370,605,93,775,635
Milpa Alta,126,9771,157,936,684,8862,1283,271984,169,16186,8323,23236,3895,9366,2307,1662,0,0,130,0,0,825,72,0,0,0,0,499,0,199,353,0,0,0,0,1585,0,0,0,146,0,178,0,0,0,0,1448
Alvaro Obregon,9510,79265,68381,12767,7739,27974,49157,277,822802,2921,26201,5147,101600,84774,97356,14437,562,0,2963,1437,822,1864,1022,3619,8192,431,2239,2105,779,16611,7823,716,90,1771,1902,532,92,0,0,316,727,4890,264,1028,366,2098,2185
Tlahuac,1295,31195,847,4496,7468,111478,2580,15997,2888,625119,18143,45771,15670,23162,7385,4264,0,0,0,44,74,8066,1401,663,1080,0,0,1941,0,864,3930,77,317,2076,250,1973,0,0,0,321,0,580,64,0,270,372,7109
Tlalpan,4905,218725,5626,14458,12763,90161,88470,9378,26282,16444,832129,131905,58072,70336,26980,12716,1531,0,584,692,438,1527,814,4670,8356,210,124,1669,124,8356,11430,1007,0,4239,499,556,212,320,555,985,111,5031,788,980,0,1722,2061
Xochimilco,1201,69525,1931,6353,9019,38137,9222,23959,4933,47498,133163,773788,21319,38555,10433,5817,0,0,989,272,232,2477,438,2785,2894,0,240,1753,248,2108,4982,828,0,753,180,0,0,243,0,399,0,1085,232,224,77,540,751
Benito Juarez,14249,133037,11892,43516,51354,149363,37749,3054,103324,15279,57231,20092,524654,164249,62162,37138,808,222,5603,3595,3255,2958,6880,10736,29879,71,1162,11726,1242,16552,28768,1086,481,7261,4997,1216,0,868,255,789,200,10896,2247,3740,210,3234,7106
Cuauhtemoc,58371,109872,18171,217905,75565,239793,34502,8400,84740,22196,70709,37276,160543,1066547,168817,193938,2151,541,21655,12885,7507,13502,15551,57366,139149,4447,2972,34102,3604,51919,134012,7050,1223,19172,21772,2434,1391,3222,1993,6154,3656,46442,7116,16070,3150,13265,17533
Miguel Hidalgo,113641,42311,38450,70171,16131,56469,18021,2804,95170,7151,26953,11072,61434,168936,700526,35565,1834,120,22286,6233,4560,5532,4090,15161,47214,980,10944,7943,3990,107778,36617,10672,64,6577,13610,686,538,1199,1205,1602,213,31377,3533,11471,721,12274,7603
Venustiano Carranza,12741,25553,3772,98752,40080,71324,4029,1697,12782,4088,12028,4148,36468,192973,33817,634433,2036,62,2491,2820,993,6424,8237,28908,54527,309,275,12604,60,7357,92847,999,825,13156,4450,2119,111,611,0,3194,1058,6576,793,2213,402,1527,8602
Tizayuca,1305,246,0,4477,135,1036,97,0,562,0,1402,0,812,2213,1834,1618,245906,7424,220,452,210,0,0,432,9173,573,0,0,118,528,862,1076,0,164,18951,0,0,4618,57,515,114,1195,0,342,2704,172,0
Apaxco,248,307,285,693,0,136,0,0,0,0,0,0,177,749,120,62,7372,226956,105,0,130,0,0,189,313,738,236,0,0,198,0,0,0,0,1828,0,41,0,0,0,0,189,64,319,10262,398,0
Atizapan de Zaragoza,22345,4101,1429,9205,280,1441,399,130,3330,0,833,870,5757,24112,23044,2257,220,105,684625,3322,6078,0,386,424,2990,1577,1160,638,703,71799,2101,65921,0,91,339,160,44,1068,1471,799,92,99283,2231,7293,0,30086,0
Coacalco de Berriozabal,4591,3059,677,8116,523,1923,216,0,1356,44,982,0,3698,12451,7651,2975,638,0,2906,348652,6630,302,0,387,43538,93,370,181,28312,12445,1134,82,37,0,4225,93,92,57,438,1202,973,12764,32538,36980,960,6983,85
Cuautitlan,3929,1061,640,4455,290,743,393,0,863,0,259,300,3525,7640,4352,1083,210,441,5451,6253,219682,0,0,799,4807,6116,0,0,2856,6415,1112,2108,0,0,729,0,12106,236,16328,286,341,13947,18564,48280,4023,50204,461
